Index,L1,L2,L3,L4,L5,L6,L7,L8,L9,A1,A2,A3,A4,A5,A6,A7,A8,R1,R2,R3,R4,R5,R6,R7,R8,t,L,max_deflection (mm)
6137,14.7,8.8,20.3,6.2,18.4,33,31,3.2,-8.02,96.69,97.31,99.76,97.22,100.09,100.6,100.29,96.73,6.8,6.6,8,6.4,7.8,6.6,7.6,7.2,1.5,970,103.348335266113
970,5.7,0.3,1,3.1,7.2,33.5,32,3.06,4.38,130.96,114.9,120.37,127.33,119.17,126.22,108.94,118.77,6,6.4,6.2,7.2,7,6.8,7,6,1.6,924,110.321868896484
699,4.3,6,20.9,7.2,2.9,27,28.5,0.24,1.08,101.71,97.7,100.09,100.9,97.42,100.96,95.21,105.25,7.6,6.4,6,7.6,7.8,6.6,8,7.6,1.2,1024,164.886596679688
16717,11.6,9.2,28.1,10.7,7.9,31,26.5,-3.3,-5.07,99.8,96.53,103.92,102.1,97.3,93.47,110,104.8,7.6,7.6,6.8,6.4,6,8,7,6.6,1.7,952,121.93034362793
1344,19.4,7.6,20,8.9,19.5,30,27.5,3.18,-7.9,96.59,96.33,98.68,97.22,100.6,100.1,100.19,96.92,7.2,7.4,7.4,7.6,8,7.4,8,7.8,1.6,1036,135.297988891602
6143,1.3,1.9,3.9,1.5,8.5,30,35,3.15,0,67.1,97.8,103.33,95.34,110.06,101.5,100.7,99.29,6,7.6,8,7.8,6.2,7.6,6.4,7.2,1.3,998,127.359306335449
17065,16.4,0.9,29.7,1.4,21.7,30,30,26.4,0.32,99.78,99,151.89,151.68,140.96,143.42,103.94,102.71,8,7.8,6.2,6.8,6,7.4,8,7.2,1.8,940,111.462150573731
12084,1.9,6.8,23,5.5,4.1,25.5,28,0.24,0.99,100.19,97.4,99.79,101.7,99.68,103.52,97.31,102.23,7.2,7,7.2,6.2,6.8,7.2,7.6,7.2,1.2,966,153.06884765625
13315,8.8,13.8,17.3,13.8,9.2,29,32.5,0.3,-0.79,97.62,93.58,99.69,106.66,94.94,97.89,96.1,93.26,7.8,6.8,6,7,7.2,7.2,6.6,6.4,1.4,1018,115.411491394043
5802,0.3,7,23.5,5,0.8,32,25.5,0.25,1.07,100.59,95.55,99.6,100.8,100.37,103.22,94.16,105.77,7.6,6.8,7.6,8,7,6.8,6.2,7.2,1.8,1040,127.546897888184
3149,17.7,7,20.2,5.9,19.3,27.5,33.5,3.47,-7.73,97.65,99.86,97.9,97.51,98.88,99.3,99,97.22,6.8,7.8,6.2,6.6,7.4,7.6,8,6.8,1.8,1056,133.857086181641
3401,2,4.8,2.2,3.9,1.3,27.5,31,2.1,-5.26,98.89,102.31,100.08,103.94,105.45,97.11,107.62,104.23,7.6,6.2,6.6,6.6,6.2,6.8,7.2,7,1.6,970,140.664245605469
13332,1.6,1,2,2,9.1,31,31.5,3.05,4.1,126.45,111.84,124.79,125.05,121.6,125.84,112.7,114.91,7,6.8,6.6,6.6,7.8,7.8,6.4,7.2,1.7,938,108.924858093262
14924,7.8,4.4,6.1,3.2,3.7,26,25.5,4.18,5.48,100,91.11,102.71,98.01,104.34,98.59,95.35,98.7,7.2,7.6,6.2,6.2,6,6.6,7.2,7,1.6,958,141.369735717773
8153,3.1,5.3,3.3,6.1,3.7,34,28,4.18,1.55,97.61,94.57,99.27,100.29,103.4,100.2,99.86,100.39,7,6.6,6.4,6.4,7.4,6.8,6,6.2,1.7,1018,103.824897766113
6098,3,1.6,3.1,1.9,7,35,28,-3.05,0,65.64,94.67,105.16,105.37,103.33,100.79,97.71,60.86,7.8,8,8,6.6,8,7,6.2,6,1.6,938,134.123016357422
12491,4.4,3.2,4.6,1.1,6,29.5,25.5,4.38,6.54,99.8,92.41,101.59,97.32,103.31,97.61,97.38,99.4,7.8,7,6.8,6.4,6.4,7.8,6,7,1.3,960,162.709091186523
6428,5.8,2.5,3.8,1,2.4,31,27,4.34,5.69,98,93.06,103.73,99.09,102.59,96.33,97.87,101.4,7.8,6.8,7.8,7.8,7.4,7,7,6.8,1.4,910,108.163055419922
