Index,L1,L2,L3,L4,L5,L6,L7,L8,L9,A1,A2,A3,A4,A5,A6,A7,A8,R1,R2,R3,R4,R5,R6,R7,R8,t,L,max_load (N)
6137,14.7,8.8,20.3,6.2,18.4,33,31,3.2,-8.02,96.69,97.31,99.76,97.22,100.09,100.6,100.29,96.73,6.8,6.6,8,6.4,7.8,6.6,7.6,7.2,1.5,970,17973.01171875
970,5.7,0.3,1,3.1,7.2,33.5,32,3.06,4.38,130.96,114.9,120.37,127.33,119.17,126.22,108.94,118.77,6,6.4,6.2,7.2,7,6.8,7,6,1.6,924,16021.35546875
699,4.3,6,20.9,7.2,2.9,27,28.5,0.24,1.08,101.71,97.7,100.09,100.9,97.42,100.96,95.21,105.25,7.6,6.4,6,7.6,7.8,6.6,8,7.6,1.2,1024,6626.02880859375
16717,11.6,9.2,28.1,10.7,7.9,31,26.5,-3.3,-5.07,99.8,96.53,103.92,102.1,97.3,93.47,110,104.8,7.6,7.6,6.8,6.4,6,8,7,6.6,1.7,952,9881.4267578125
1344,19.4,7.6,20,8.9,19.5,30,27.5,3.18,-7.9,96.59,96.33,98.68,97.22,100.6,100.1,100.19,96.92,7.2,7.4,7.4,7.6,8,7.4,8,7.8,1.6,1036,10563.259765625
6143,1.3,1.9,3.9,1.5,8.5,30,35,3.15,0,67.1,97.8,103.33,95.34,110.06,101.5,100.7,99.29,6,7.6,8,7.8,6.2,7.6,6.4,7.2,1.3,998,9645.33203125
17065,16.4,0.9,29.7,1.4,21.7,30,30,26.4,0.32,99.78,99,151.89,151.68,140.96,143.42,103.94,102.71,8,7.8,6.2,6.8,6,7.4,8,7.2,1.8,940,18365.16796875
12084,1.9,6.8,23,5.5,4.1,25.5,28,0.24,0.99,100.19,97.4,99.79,101.7,99.68,103.52,97.31,102.23,7.2,7,7.2,6.2,6.8,7.2,7.6,7.2,1.2,966,8945.314453125
13315,8.8,13.8,17.3,13.8,9.2,29,32.5,0.3,-0.79,97.62,93.58,99.69,106.66,94.94,97.89,96.1,93.26,7.8,6.8,6,7,7.2,7.2,6.6,6.4,1.4,1018,11978.3125
5802,0.3,7,23.5,5,0.8,32,25.5,0.25,1.07,100.59,95.55,99.6,100.8,100.37,103.22,94.16,105.77,7.6,6.8,7.6,8,7,6.8,6.2,7.2,1.8,1040,12149.9306640625
3149,17.7,7,20.2,5.9,19.3,27.5,33.5,3.47,-7.73,97.65,99.86,97.9,97.51,98.88,99.3,99,97.22,6.8,7.8,6.2,6.6,7.4,7.6,8,6.8,1.8,1056,12325.6796875
3401,2,4.8,2.2,3.9,1.3,27.5,31,2.1,-5.26,98.89,102.31,100.08,103.94,105.45,97.11,107.62,104.23,7.6,6.2,6.6,6.6,6.2,6.8,7.2,7,1.6,970,9098.0947265625
13332,1.6,1,2,2,9.1,31,31.5,3.05,4.1,126.45,111.84,124.79,125.05,121.6,125.84,112.7,114.91,7,6.8,6.6,6.6,7.8,7.8,6.4,7.2,1.7,938,19345.29296875
14924,7.8,4.4,6.1,3.2,3.7,26,25.5,4.18,5.48,100,91.11,102.71,98.01,104.34,98.59,95.35,98.7,7.2,7.6,6.2,6.2,6,6.6,7.2,7,1.6,958,10630.2587890625
8153,3.1,5.3,3.3,6.1,3.7,34,28,4.18,1.55,97.61,94.57,99.27,100.29,103.4,100.2,99.86,100.39,7,6.6,6.4,6.4,7.4,6.8,6,6.2,1.7,1018,16464.419921875
6098,3,1.6,3.1,1.9,7,35,28,-3.05,0,65.64,94.67,105.16,105.37,103.33,100.79,97.71,60.86,7.8,8,8,6.6,8,7,6.2,6,1.6,938,10305.3232421875
12491,4.4,3.2,4.6,1.1,6,29.5,25.5,4.38,6.54,99.8,92.41,101.59,97.32,103.31,97.61,97.38,99.4,7.8,7,6.8,6.4,6.4,7.8,6,7,1.3,960,6278.9189453125
6428,5.8,2.5,3.8,1,2.4,31,27,4.34,5.69,98,93.06,103.73,99.09,102.59,96.33,97.87,101.4,7.8,6.8,7.8,7.8,7.4,7,7,6.8,1.4,910,13858.8681640625
8586,1.3,4.2,20.3,4.7,0.3,26,28.5,0.23,0.9,100.79,97.11,98.31,100.7,98.01,104.04,96.16,102.86,6.4,6.2,7.8,7.2,7,7,8,6.6,1.7,1048,16860.79296875
8342,5.7,7.8,20.2,6.2,1.3,28,27.5,0.26,0.98,100.59,96.04,97.91,98.1,97.52,104.04,94.45,105.04,7.8,7,7.4,7.8,7.8,6.4,8,6.8,1.5,960,7825.26806640625
14749,8.8,3.4,12.6,5.9,7.2,28,25,3.02,-8.77,99.77,100.85,100,101.78,99.38,100.37,100.8,102.31,6.6,6.2,7.4,7.6,7.6,6.6,6.2,6,1.6,1014,9709.990234375
15157,6.8,11.1,22,11.6,8.1,33,33.5,0.29,-0.88,96.95,96.91,102.21,106.35,96.86,96.72,95.53,94.96,8,8,6,7,6.2,7.8,8,7.6,1.5,1042,8000.3828125
16234,4.2,4.9,0.1,2.7,6.9,27.5,34,3.76,0.76,104.13,104.26,100.1,97.52,105.66,92.81,112.35,108.76,6.6,7,6.8,7.8,7.4,7.6,7.8,6.2,1.4,974,8282.6904296875
1087,5.8,2.7,5.1,3,5.8,34.5,30,3.19,0,68.17,99.86,100.79,92.51,111.38,101,100.6,96.63,6.4,8,7,7.8,7.2,6.8,7.2,8,1.4,912,7035.947265625
3884,1,4.2,2.4,2.7,0.8,27.5,30.5,1.99,-4.52,99.58,100.19,99.48,101.49,103.68,96.43,109.45,103.61,7,7.6,6.4,6.2,7.4,7.6,6.8,7,1.4,1056,10399.7265625
13256,7.7,5.9,0.4,1.7,7.1,34,34,4.16,0.86,103.62,105.63,100.3,98.3,108.42,91.34,111.9,109.09,6,7.8,7.2,6,7.8,6.4,7.6,7.8,1.7,1018,13775.0283203125
12659,2.5,6.2,23.3,7.3,1.8,25.5,26,0.23,0.9,102.92,99.45,98.6,101.7,99.98,101.68,94.83,104.83,7.6,7.2,7.4,6.8,6.2,7,7,7.6,1.7,948,9774.015625
650,17.3,3.4,32.4,2.8,22.3,28,32,22.8,0.32,99.48,98.7,151.13,152.91,140.54,145.3,104.24,101.48,6.2,7.2,7.4,7.2,7.2,6.2,6.6,7.8,1.7,922,13384.228515625
13250,1.6,4.6,2,2.5,2.3,31,27.5,2.01,-4.96,96.83,99.89,99.88,100.16,102.22,96.14,105.91,101.33,6.4,6.8,6.8,7.8,6.8,7.8,7.8,6.8,1.5,908,7828.65234375
4018,1.2,1.7,1.6,2.6,10.9,29,29,3.01,4.82,128.38,114.67,120.61,126.7,123.3,127.74,109.72,117.95,7.8,7.4,7.4,8,6.6,7.6,6,7.6,1.6,910,17899.189453125
3708,5.2,9.7,9,8.8,5.8,29,32.5,18.6,-2.96,98.79,99.66,129.2,132.52,126.35,128.84,103.62,102.91,8,6.2,7.8,7.2,7,7.6,8,6.8,1.2,944,6106.5224609375
8706,0.2,11.8,3.6,0.9,0.9,35,31,0.57,0,71.54,99.78,110.13,118.94,93.63,111.01,94.98,67.84,7.4,7.4,7.4,6.2,8,6,6.6,6.2,1.8,1052,15613.359375
13333,5.7,13,3,13.1,0.9,25.5,27,-11.68,0.94,95.77,90.7,97.38,90.69,89.87,86.39,91.63,80.97,7.8,6,7.6,6.2,7.4,6.4,6,8,1.3,974,7488.91650390625
10739,19.6,3.4,16.9,8.6,17.5,29,27.5,3.53,-7.57,95.73,98.88,95.94,98.1,100.9,99.7,100.89,98.2,7.2,7.6,7.2,6,8,7,7.8,7,1.7,982,16207.1240234375
3432,7.4,1,2.1,2.4,1.4,30,25,-2.72,0,65.58,94.96,103.82,105.16,100.69,102.62,100.28,60.56,8,7.4,7.8,6.8,6.4,7.6,7,6.2,1.2,968,10496.43359375
12077,7.8,12.1,24.3,13.9,10.1,32.5,30,-3.18,-4.65,100.49,96.53,102.58,103.94,96.23,91.98,111.11,106.07,6.4,7.6,7,6.6,6.4,6.4,7.6,6.6,1.4,960,6821.888671875
16686,6.6,1.2,2.1,3.3,0.8,27,33,3.53,3.86,99.2,91.87,106.65,99.9,101.99,101.91,94.26,96.83,7.6,6.2,7.8,6.8,6.6,7.4,7,6.2,1.4,992,8537.283203125
14478,3.8,5.5,1.4,4.3,3.3,34.5,34.5,1.97,-4.93,98.6,100.8,102.41,102.92,103.37,98.77,106.98,105.05,6,7.2,6.4,8,6,7.6,7.2,7,1.8,1002,19195.37890625
6364,5.9,1,0.7,2.7,4.1,34,33.5,-3.08,0,66.03,96.7,101.96,103.71,100.08,99.87,96.73,60.98,6.6,7,8,7.4,7.8,7.4,7.4,7.6,1.2,960,10541.5390625
7958,3.1,1.5,0.6,2.5,7.8,27,30.5,3.18,0,66.36,97.9,100.69,93.17,108.62,100.3,100.2,97.71,7.6,6.6,6.2,7,6.6,7,6.6,6.4,1.5,976,17209.396484375
11844,17.3,7.7,21.3,7.4,19.2,30,29.5,3.56,-8.4,95.15,96.53,97.8,98.79,102.11,100.5,97.81,100.07,6.2,7.2,8,7.2,6.6,6,8,7.2,1.2,920,12077.2265625
6523,4.3,12.3,19,17.1,9.9,34.5,25,0.28,-0.87,95.61,95.1,101.81,107.3,94.27,96.92,93.46,93.07,6,7.8,6.8,6.2,6.8,6.8,6.6,6,1.4,910,9739.349609375
15589,10.4,4.6,1.2,3.4,7.8,33.5,33,28.07,0.96,107.98,97.86,143.85,136.15,128.31,125.63,104.09,102.47,7.2,7.4,7.2,7.6,6.6,7.6,7.6,7.4,1.8,902,15853.4794921875
12072,1.1,1.3,0.7,2.7,7,32.5,27,3,0,66.03,98.68,103.33,95.9,109.73,98.7,102.01,96.92,7,7.2,6.8,7.8,7.6,7.4,7.8,8,1.4,1004,15101.052734375
5134,5.4,4.9,20.7,5.2,4.6,25,30.5,0.27,0.91,103.33,96.62,100.78,100.6,97.81,102.3,95.21,102.44,7.4,7.4,7.2,7.2,7.2,7.6,7.6,7.4,1.3,950,6209.43017578125
